Category Order #,Feed ID,Feed Title,Guided Prayer Title,Guided Prayer Description,Create / ReCreate?,Guided Prayer Description Formatted
1,3794,Biblical Prayers,Armor of God,"Stand firm then, with the 
belt of truth buckled around your 
waist, with the breastplate of 
righteousness in place, 
and with your feet fitted with the readiness that comes from the 
gospel of peace. In addition
 to all this, take up the 
shield of faith, with which you can extinguish all the flaming 
arrows of the evil one. 
Take the helmet of salvation and the sword of the Spirit, 
which is the word of God.

-Ephesians 6:14-17",1,"Stand firm then, with the \nbelt of truth buckled around your \nwaist, with the breastplate of \nrighteousness in place, \nand with your feet fitted with the readiness that comes from the \ngospel of peace. In addition\n to all this, take up the \nshield of faith, with which you can extinguish all the flaming \narrows of the evil one. \nTake the helmet of salvation and the sword of the Spirit, \nwhich is the word of God.\n\n-Ephesians 6:14-17"
2,3794,Biblical Prayers,The Shema Prayer,"Hear, O Israel: The Lord our God, the Lord is one. Love the Lord your God with all your heart and with all your soul and with all your mind and with all your strength.

-Mark 12:29-30",1,"Hear, O Israel: The Lord our God, the Lord is one. Love the Lord your God with all your heart and with all your soul and with all your mind and with all your strength.\n\n-Mark 12:29-30"
3,3794,Biblical Prayers,Psalm 23,"The Lord is my shepherd, 
I lack nothing.
He makes me lie down in 
green pastures,
he leads me beside 
quiet waters,
he refreshes my soul.
He guides me along 
the right paths
for his name’s sake.
Even though I walk
through the darkest valley,
I will fear no evil,
for you are with me;
your rod and your staff,
they comfort me.
You prepare a table before me
in the presence of my enemies.
You anoint my head with oil;
my cup overflows.
Surely your goodness and love 
will follow me
all the days of my life,
and I will dwell in 
the house of the Lord forever.

-Psalm 23",1,"The Lord is my shepherd, \nI lack nothing.\nHe makes me lie down in \ngreen pastures,\nhe leads me beside \nquiet waters,\nhe refreshes my soul.\nHe guides me along \nthe right paths\nfor his name’s sake.\nEven though I walk\nthrough the darkest valley,\nI will fear no evil,\nfor you are with me;\nyour rod and your staff,\nthey comfort me.\nYou prepare a table before me\nin the presence of my enemies.\nYou anoint my head with oil;\nmy cup overflows.\nSurely your goodness and love \nwill follow me\nall the days of my life,\nand I will dwell in \nthe house of the Lord forever.\n\n-Psalm 23"
4,3794,Biblical Prayers,Colossians 1,"We continually ask God to fill you with the knowledge of his will through all the wisdom and understanding that the Spirit gives, so that you may live a life worthy of the Lord and please him in every way: bearing fruit in every good work, growing in the knowledge of God, being strengthened with all power according to his glorious might so that you may have great endurance and patience, and giving joyful thanks to the Father.

-Colossians  1:9-12",1,"We continually ask God to fill you with the knowledge of his will through all the wisdom and understanding that the Spirit gives, so that you may live a life worthy of the Lord and please him in every way: bearing fruit in every good work, growing in the knowledge of God, being strengthened with all power according to his glorious might so that you may have great endurance and patience, and giving joyful thanks to the Father.\n\n-Colossians  1:9-12"
5,3794,Biblical Prayers,Philippians 1,"And this is my prayer: that your love may abound more and more in knowledge and depth of insight, 
so that you may be able to discern what is best and may be pure and blameless for the day of Christ, filled with the fruit of righteousness that comes through Jesus Christ—to the glory and praise of God.

-Philippians 1:9-11",1,"And this is my prayer: that your love may abound more and more in knowledge and depth of insight, \nso that you may be able to discern what is best and may be pure and blameless for the day of Christ, filled with the fruit of righteousness that comes through Jesus Christ—to the glory and praise of God.\n\n-Philippians 1:9-11"
6,3794,Biblical Prayers,Ephesians 3,"I pray that out of his glorious riches he may strengthen you with power through his Spirit in your inner being, so that Christ may dwell in your hearts through faith. And I pray that you, being rooted and established in love, may have power, together with all the Lord’s holy people, to grasp how wide and long and high and deep is the love of Christ, and to know this love that surpasses knowledge—that you may be filled to the measure of all the fullness of God.

-Ephesians 3:16-19",1,"I pray that out of his glorious riches he may strengthen you with power through his Spirit in your inner being, so that Christ may dwell in your hearts through faith. And I pray that you, being rooted and established in love, may have power, together with all the Lord’s holy people, to grasp how wide and long and high and deep is the love of Christ, and to know this love that surpasses knowledge—that you may be filled to the measure of all the fullness of God.\n\n-Ephesians 3:16-19"
7,3794,Biblical Prayers,Ephesians 1,"I keep asking that the God of our Lord Jesus Christ, the glorious Father, may give you the Spirit of wisdom and revelation, so that you may know him better. I pray that the eyes of your heart may be enlightened in order that you may know the hope to which he has called you, the riches of his glorious inheritance in his holy people, and his incomparably great power for us who believe.

-Ephesians 1:17-19",1,"I keep asking that the God of our Lord Jesus Christ, the glorious Father, may give you the Spirit of wisdom and revelation, so that you may know him better. I pray that the eyes of your heart may be enlightened in order that you may know the hope to which he has called you, the riches of his glorious inheritance in his holy people, and his incomparably great power for us who believe.\n\n-Ephesians 1:17-19"
8,3794,Biblical Prayers,The Lord's Prayer,"Our Father in heaven, hallowed be your name, your kingdom come, your will be done, on earth as it is in heaven. Give us today our daily bread. And forgive us our debts, as we also have forgiven our debtors. And lead us not into temptation, but deliver us from the evil one.

-Matthew 6:9-13",1,"Our Father in heaven, hallowed be your name, your kingdom come, your will be done, on earth as it is in heaven. Give us today our daily bread. And forgive us our debts, as we also have forgiven our debtors. And lead us not into temptation, but deliver us from the evil one.\n\n-Matthew 6:9-13"
9,3794,Biblical Prayers,Psalm 37,"Fix your heart on the promises of God and you will dwell in the land, feasting on his faithfulness.

-Psalm 37:3",1,"Fix your heart on the promises of God and you will dwell in the land, feasting on his faithfulness.\n\n-Psalm 37:3"
10,3794,Biblical Prayers,Psalm 119,"I have hidden your word in my heart that I might not sin against you.

-Psalm 119:11",1,I have hidden your word in my heart that I might not sin against you.\n\n-Psalm 119:11
11,3794,Biblical Prayers,Hebrews 4,"The word of God is alive and active.

-Hebrews 4:12",1,The word of God is alive and active.\n\n-Hebrews 4:12
1,3795,Character & Confession,Character - Psalm 19:14,May these words of my mouth and this meditation of my heart be pleasing in your sight.,1,May these words of my mouth and this meditation of my heart be pleasing in your sight.
2,3795,Character & Confession,Character - Ephesians 5:1,Be imitators of God.,1,Be imitators of God.
3,3795,Character & Confession,Character - Proverbs 10:9,Whoever walks in integrity walks securely.,1,Whoever walks in integrity walks securely.
4,3795,Character & Confession,Fruit Of The Spirit,"Pray through each attribute:

Love
Joy 
Peace 
Patience 
Kindness
Goodness 
Faithfulness 
Gentleness 
Self-Control

Surrender the opposite of each of these attributes.  ",1,Pray through each attribute:\n\nLove\nJoy \nPeace \nPatience \nKindness\nGoodness \nFaithfulness \nGentleness \nSelf-Control\n\nSurrender the opposite of each of these attributes.  
5,3795,Character & Confession,Character - 2 Timothy 2:22,Whatever builds up your faith and deepens your love must become your holy pursuit.,1,Whatever builds up your faith and deepens your love must become your holy pursuit.
6,3795,Character & Confession,Character - Ephesians 4:1,Live a life worthy of the calling you have received.,1,Live a life worthy of the calling you have received.
7,3795,Character & Confession,Character - 1 Samuel 16:7,"People look at the outward appearance, but the Lord looks at the heart.",1,"People look at the outward appearance, but the Lord looks at the heart."
8,3795,Character & Confession,Character - Beatitudes 1,"Blessed are the poor in spirit, 
for theirs is the kingdom of heaven.

Blessed are those who mourn, 
for they will be comforted.

Blessed are the meek, 
for they will inherit the earth.

Blessed are those who hunger and thirst for righteousness,
for they will be filled.",1,"Blessed are the poor in spirit, \nfor theirs is the kingdom of heaven.\n\nBlessed are those who mourn, \nfor they will be comforted.\n\nBlessed are the meek, \nfor they will inherit the earth.\n\nBlessed are those who hunger and thirst for righteousness,\nfor they will be filled."
9,3795,Character & Confession,Character - Beatitudes 2,"Blessed are the merciful,
for they will be shown mercy.

Blessed are the pure in heart,
for they will see God.

Blessed are the peacemakers,
for they will be called children of God.

Blessed are those who are persecuted because of righteousness, 
for theirs is the kingdom of heaven.",1,"Blessed are the merciful,\nfor they will be shown mercy.\n\nBlessed are the pure in heart,\nfor they will see God.\n\nBlessed are the peacemakers,\nfor they will be called children of God.\n\nBlessed are those who are persecuted because of righteousness, \nfor theirs is the kingdom of heaven."
10,3795,Character & Confession,Character - Proverbs 4:23,"Above all else, guard your heart, for everything you do flows from it.",1,"Above all else, guard your heart, for everything you do flows from it."
11,3795,Character & Confession,Character - Romans 5:4,"We know that suffering produces perseverance; perseverance, character; and character, hope.",1,"We know that suffering produces perseverance; perseverance, character; and character, hope."
12,3795,Character & Confession,Character - Psalm 25:4-5,"Show me your ways, LORD, teach me your paths. Guide me in your truth and teach me, for you are God my Savior.",1,"Show me your ways, LORD, teach me your paths. Guide me in your truth and teach me, for you are God my Savior."
13,3795,Character & Confession,Wisdom - Colossians 1:9-10,We continually ask God to fill you with the knowledge of his will through all the wisdom and understanding.,1,We continually ask God to fill you with the knowledge of his will through all the wisdom and understanding.
14,3795,Character & Confession,Wisdom - Proverbs 16:9,"In their hearts, humans plan their course, but the LORD establishes their steps.",1,"In their hearts, humans plan their course, but the LORD establishes their steps."
15,3795,Character & Confession,Wisdom - Psalm 25:14,The LORD confides in those who fear him.,1,The LORD confides in those who fear him.
16,3795,Character & Confession,Wisdom - Ask God,"Specifically list areas in which you need wisdom, and ask for wisdom. 

Surrender these areas under the lordship of Jesus. 

Surrender the outcome to the will of God.  

Pause and listen. 

Trust that God will lead you.",1,"Specifically list areas in which you need wisdom, and ask for wisdom. \n\nSurrender these areas under the lordship of Jesus. \n\nSurrender the outcome to the will of God.  \n\nPause and listen. \n\nTrust that God will lead you."
1,3802,Examen,Replay,Walk through the events of your day and your emotions. ,1,Walk through the events of your day and your emotions. 
2,3802,Examen,Rejoice,"Thank God for His presence, guidance, and provision. ",1,"Thank God for His presence, guidance, and provision. "
3,3802,Examen,Repent,Let the Spirit reveal areas in which you need to confess and repent. ,1,Let the Spirit reveal areas in which you need to confess and repent. 
4,3802,Examen,Resolve,Pray about how you can take the lessons from this time today into the next day.,1,Pray about how you can take the lessons from this time today into the next day.
5,3802,Examen,Psalm 4:4,Be still upon your bed and search your heart before him.,1,Be still upon your bed and search your heart before him.
6,3802,Examen,Psalm 139:23-24,"Test me and know my anxious thoughts. See if there is any offensive way in me, and lead me in the way everlasting.",1,"Test me and know my anxious thoughts. See if there is any offensive way in me, and lead me in the way everlasting."
7,3802,Examen,Psalm 19:12-13,But who can discern their own errors? Forgive my hidden faults. Keep your servant also from willful sins; may they not rule over me.,1,But who can discern their own errors? Forgive my hidden faults. Keep your servant also from willful sins; may they not rule over me.
1,3796,Meditations,Psalm 23:1,"I shall not want, because the Lord is my shepherd. ",1,"I shall not want, because the Lord is my shepherd. "
2,3796,Meditations,Galatians 2:20,"I have been crucified with Christ. It is no longer I who live, but Christ who lives in me.",1,"I have been crucified with Christ. It is no longer I who live, but Christ who lives in me."
3,3796,Meditations,2 Peter 1:3,I have everything I need for life and godliness. ,1,I have everything I need for life and godliness. 
4,3796,Meditations,John 15:15,I am Christ’s friend.,1,I am Christ’s friend.
5,3796,Meditations,Ephesians 2:20,I am secure.,1,I am secure.
6,3796,Meditations,Ephesians 3:12,I can approach God with freedom and confidence.,1,I can approach God with freedom and confidence.
7,3796,Meditations,2 Timothy 1:7,"I have a spirit of love, and of power, and a sound mind, rather than a spirit of fear. ",1,"I have a spirit of love, and of power, and a sound mind, rather than a spirit of fear. "
8,3796,Meditations,Ephesians 2:18,I have access to the Father.,1,I have access to the Father.
9,3796,Meditations,2 Corinthians 5:17,I am a new creation,1,I am a new creation
10,3796,Meditations,Colossians 1:13,I am delivered.,1,I am delivered.
11,3796,Meditations,"Romans 8:2, John 8:32",I am set free.,1,I am set free.
12,3796,Meditations,Ephesians 2:13,I have been brought near to God through Christ's blood.,1,I have been brought near to God through Christ's blood.
13,3796,Meditations,Ephesians 2:14,I have peace.,1,I have peace.
14,3796,Meditations,Ephesians 1:4,I am holy and blameless in Christ.,1,I am holy and blameless in Christ.
15,3796,Meditations,1 Corinthians 15:57,I have Christ's victory in me.,1,I have Christ's victory in me.
16,3796,Meditations,1 Peter 1:23,I am born again. ,1,I am born again. 
17,3796,Meditations,Colossians 1:29,I have Christ's energy.,1,I have Christ's energy.
18,3796,Meditations,Ephesians 1:3,I am blessed with every spiritual blessing.,1,I am blessed with every spiritual blessing.
19,3796,Meditations,John 1:12,I am God's child.,1,I am God's child.
20,3796,Meditations,1 Corinthians 6:20,I belong to God's family.,1,I belong to God's family.
21,3796,Meditations,Romans 5:1,I have been justified.,1,I have been justified.
22,3796,Meditations,Phillipians 3:20,I am a citizen of heaven.,1,I am a citizen of heaven.
23,3796,Meditations,Ephesians 1:4,I am chosen before the creation of the world. ,1,I am chosen before the creation of the world. 
24,3796,Meditations,Ephesians 1:5,I am adopted into God's family.,1,I am adopted into God's family.
25,3796,Meditations,1 John 4:9-10,I am loved by God.,1,I am loved by God.
26,3796,Meditations,John 15:15,The God who created the universe calls me His friend.,1,The God who created the universe calls me His friend.
27,3796,Meditations,2 Corinthians 5:17,I am a new creation.,1,I am a new creation.
1,3797,One Sentence Prayers,Show me Your heart,"Father, show me Your heart.",1,"Father, show me Your heart."
2,3797,One Sentence Prayers,Fill my heart with love,"Father, fill my heart with Your love.  ",1,"Father, fill my heart with Your love.  "
3,3797,One Sentence Prayers,Help me to love,Help me love everyone I see today.,1,Help me love everyone I see today.
4,3797,One Sentence Prayers,Fill me with joy,"Holy Spirit, fill me with Your joy.",1,"Holy Spirit, fill me with Your joy."
5,3797,One Sentence Prayers,Teach me to listen,Teach me to listen to Your voice today.,1,Teach me to listen to Your voice today.
6,3797,One Sentence Prayers,I give You this burden,I give You this burden.,1,I give You this burden.
7,3797,One Sentence Prayers,Help me understand Your will,Help me understand Your will.,1,Help me understand Your will.
8,3797,One Sentence Prayers,Lift my eyes,"Lift my eyes to see You, Jesus.",1,"Lift my eyes to see You, Jesus."
9,3797,One Sentence Prayers,Open my eyes,Open my eyes to see You.,1,Open my eyes to see You.
10,3797,One Sentence Prayers,Give me wisdom,Please give me Your wisdom in this moment.,1,Please give me Your wisdom in this moment.
11,3797,One Sentence Prayers,Come near,"Come near, Lord Jesus.",1,"Come near, Lord Jesus."
12,3797,One Sentence Prayers,Protect my mind,"Protect my mind, soul, and spirit this moment.",1,"Protect my mind, soul, and spirit this moment."
13,3797,One Sentence Prayers,I need you,"Father, I need You right now.",1,"Father, I need You right now."
14,3797,One Sentence Prayers,You are my God,"God, You are my God; earnestly I seek You.",1,"God, You are my God; earnestly I seek You."
15,3797,One Sentence Prayers,Take this sin,Take this sin from my heart.,1,Take this sin from my heart.
16,3797,One Sentence Prayers,Why so downcast?,"Why so downcast, my soul? Put your hope in God.",1,"Why so downcast, my soul? Put your hope in God."
17,3797,One Sentence Prayers,Show me Your glory,"Yahweh, show me Your glory.",1,"Yahweh, show me Your glory."
18,3797,One Sentence Prayers,Remind me You are here,Remind me You are here right now.,1,Remind me You are here right now.
19,3797,One Sentence Prayers,Help me please You,Help me do what pleases You today.,1,Help me do what pleases You today.
20,3797,One Sentence Prayers,You are my best thought,"You are my best thought, both day and night.",1,"You are my best thought, both day and night."
21,3797,One Sentence Prayers,Save the nations,Come bring salvation to the nations.,1,Come bring salvation to the nations.
22,3797,One Sentence Prayers,My life a prayer,Make my life a prayer to You.,1,Make my life a prayer to You.
23,3797,One Sentence Prayers,Come to my community,Come to my neighborhood/family/work.,1,Come to my neighborhood/family/work.
24,3797,One Sentence Prayers,Shadow of Your wings,Hide me in the shadow of Your wings.,1,Hide me in the shadow of Your wings.
25,3797,One Sentence Prayers,Remind me of Your love,Remind me of Your love in this moment.,1,Remind me of Your love in this moment.
26,3797,One Sentence Prayers,Make me a blessing,Make me a blessing to everyone here.,1,Make me a blessing to everyone here.
27,3797,One Sentence Prayers,What do you want?,"Lord, what do You want?",1,"Lord, what do You want?"
28,3797,One Sentence Prayers,Show me Your love,Show me how deep and long and wide and high Your love is for me and for all others.,1,Show me how deep and long and wide and high Your love is for me and for all others.
29,3797,One Sentence Prayers,Help me to be still,Help me be still and not miss Your presence in this moment.,1,Help me be still and not miss Your presence in this moment.
30,3797,One Sentence Prayers,Be gracious to us,"God be gracious to us and bless us, and cause Your face to shine upon us.",1,"God be gracious to us and bless us, and cause Your face to shine upon us."
31,3797,One Sentence Prayers,Fill me,"Fill me with Your wisdom, peace, grace, and strength",1,"Fill me with Your wisdom, peace, grace, and strength"
32,3797,One Sentence Prayers,Forgive me,"Forgive me, Lord.",1,"Forgive me, Lord."
33,3797,One Sentence Prayers,Cleanse me,Cleanse my heart and mind.,1,Cleanse my heart and mind.
34,3797,One Sentence Prayers,How can I please you?,"How can I please You, today?",1,"How can I please You, today?"
1,3798,Petitions,Blessing - Numbers 6:24-26,The Lord bless you and keep you; the Lord make his face shine on you and be gracious to you; the Lord turn his face toward you and give you peace.,1,The Lord bless you and keep you; the Lord make his face shine on you and be gracious to you; the Lord turn his face toward you and give you peace.
2,3798,Petitions,Blessing - Philippians 1:9-11,And this is my prayer: that your love may abound more and more in knowledge and depth of insight so that you may be able to discern what is best and may be pure and blameless for the day of Christ.,1,And this is my prayer: that your love may abound more and more in knowledge and depth of insight so that you may be able to discern what is best and may be pure and blameless for the day of Christ.
3,3798,Petitions,Blessing - List People,"Write down the people you want to bless
And the blessing you want over their life.
(Even people you don't like...)",1,Write down the people you want to bless\nAnd the blessing you want over their life.\n(Even people you don't like...)
4,3798,Petitions,Children - Isaiah 54:13,"All your children will be taught by the LORD, and great will be their peace.",1,"All your children will be taught by the LORD, and great will be their peace."
5,3798,Petitions,Children - Psalm 112:2,Their children will be mighty in the land.,1,Their children will be mighty in the land.
6,3798,Petitions,Children - Psalm 145:4,One generation commends your works to another; they tell of your mighty acts.,1,One generation commends your works to another; they tell of your mighty acts.
7,3798,Petitions,Children - Character,"Pray for your children to have specific character traits:

Courage   
Compassion   
Character   
Holiness
Humility 
Fruit of the Spirit
Armor of God
Leadership
Leading Others to Christ
People of Prayer and the Word

Pray for these traits in their current or future spouse as well.",1,Pray for your children to have specific character traits:\n\nCourage   \nCompassion   \nCharacter   \nHoliness\nHumility \nFruit of the Spirit\nArmor of God\nLeadership\nLeading Others to Christ\nPeople of Prayer and the Word\n\nPray for these traits in their current or future spouse as well.
8,3798,Petitions,Spouse - Matthew 19:6,"Therefore what God has joined together, let no one separate.",1,"Therefore what God has joined together, let no one separate."
9,3798,Petitions,Spouse - Ephesians 4:2-3,"Be completely humble and gentle; be patient, bearing with one another in love. Make every effort to keep the unity of the Spirit through the bond of peace.",1,"Be completely humble and gentle; be patient, bearing with one another in love. Make every effort to keep the unity of the Spirit through the bond of peace."
10,3798,Petitions,Salvation for Others - Ephesians 1:18-19,"I pray that the eyes of your heart may be enlightened in order that you may know the hope to which he has called you, the riches of his glorious inheritance in his holy people, and his incomparably great power for us who believe.",1,"I pray that the eyes of your heart may be enlightened in order that you may know the hope to which he has called you, the riches of his glorious inheritance in his holy people, and his incomparably great power for us who believe."
11,3798,Petitions,Spouse - Pray and Write,"Pray through these Graces for your Marriage:

Listen to each other humbly.
Serve each other joyfully.
Honor each other faithfully. 
Share with each other honestly.
Forgive each other intentionally.
Apologize to each other truly.
Encourage each other regularly.
Laugh with one another deeply.
Pray with each other powerfully. 
Love each other passionately. 

Write a prayer for your spouse that you can pray regularly.",1,Pray through these Graces for your Marriage:\n\nListen to each other humbly.\nServe each other joyfully.\nHonor each other faithfully. \nShare with each other honestly.\nForgive each other intentionally.\nApologize to each other truly.\nEncourage each other regularly.\nLaugh with one another deeply.\nPray with each other powerfully. \nLove each other passionately. \n\nWrite a prayer for your spouse that you can pray regularly.
12,3798,Petitions,Salvation for Others - Ephesians 3:17-18,I pray that you ... grasp how wide and long and high and deep is the love of Christ.,1,I pray that you ... grasp how wide and long and high and deep is the love of Christ.
13,3798,Petitions,Salvation for Others - List People,"List people you are praying will know Jesus

Family 
Friends
Neighbors 
Coworkers",1,List people you are praying will know Jesus\n\nFamily \nFriends\nNeighbors \nCoworkers
14,3798,Petitions,Your Nation - 2 Chronicles 7:14,"If my people, who are called by my name, will humble themselves and pray and seek my face and turn from their wicked ways, then I will hear from heaven, and I will forgive their sin and will heal their land.",1,"If my people, who are called by my name, will humble themselves and pray and seek my face and turn from their wicked ways, then I will hear from heaven, and I will forgive their sin and will heal their land."
15,3798,Petitions,Your Nation - 1 Timothy 2:1-2,"I urge, then, first of all, that petitions, prayers, intercession and thanksgiving be made for all people—for kings and all those in authority.",1,"I urge, then, first of all, that petitions, prayers, intercession and thanksgiving be made for all people—for kings and all those in authority."
16,3798,Petitions,Your Nation - Revival,"Pray for renewal and healing in your nation

You local, state, and national leaders.

Pray for major issues on your heart in your nation.

Pray for Christian leaders in your nation.

Pray for salvation and revival in your neighborhood, city, state, and nation.",1,"Pray for renewal and healing in your nation\n\nYou local, state, and national leaders.\n\nPray for major issues on your heart in your nation.\n\nPray for Christian leaders in your nation.\n\nPray for salvation and revival in your neighborhood, city, state, and nation."
